"filename", "language", "GDResource", "GDScript", "comment", "blank", "total"
"/Users/sanitygames/godot/gameoff2022/game/Fukidasi.gd", "GDScript", 0, 5, 0, 5, 10
"/Users/sanitygames/godot/gameoff2022/game/Game.gd", "GDScript", 0, 4, 0, 8, 12
"/Users/sanitygames/godot/gameoff2022/game/Game.tscn", "GDResource", 73, 0, 0, 13, 86
"/Users/sanitygames/godot/gameoff2022/game/Waves.gd", "GDScript", 0, 6, 0, 3, 9
"/Users/sanitygames/godot/gameoff2022/game/WeaponUI.gd", "GDScript", 0, 3, 0, 1, 4
"/Users/sanitygames/godot/gameoff2022/game/ZombieTutorialWave.gd", "GDScript", 0, 10, 0, 6, 16
"/Users/sanitygames/godot/gameoff2022/global/Global.gd", "GDScript", 0, 5, 0, 3, 8
"/Users/sanitygames/godot/gameoff2022/global/Global.tscn", "GDResource", 6, 0, 0, 3, 9
"/Users/sanitygames/godot/gameoff2022/global/ZombieParticle.gd", "GDScript", 0, 6, 0, 3, 9
"/Users/sanitygames/godot/gameoff2022/global/ZombieParticle.tscn", "GDResource", 31, 0, 0, 7, 38
"/Users/sanitygames/godot/gameoff2022/ignition_timer/IgnitionTimer.gd", "GDScript", 0, 2, 0, 1, 3
"/Users/sanitygames/godot/gameoff2022/ignition_timer/IgnitionTimer.tscn", "GDResource", 1, 0, 0, 0, 1
"/Users/sanitygames/godot/gameoff2022/project.godot", "GDResource", 1, 0, 0, 0, 1
"/Users/sanitygames/godot/gameoff2022/resource/font/font8px.tres", "GDResource", 5, 0, 0, 3, 8
"/Users/sanitygames/godot/gameoff2022/resource/png/fukidasi.png.import", "GDResource", 30, 0, 0, 6, 36
"/Users/sanitygames/godot/gameoff2022/resource/sound/ゾンビに体をえぐられる.mp3.import", "GDResource", 10, 0, 0, 6, 16
"/Users/sanitygames/godot/gameoff2022/resource/sound/ゾンビの声1.mp3.import", "GDResource", 10, 0, 0, 6, 16
"/Users/sanitygames/godot/gameoff2022/zombie/Zombie.gd", "GDScript", 0, 5, 0, 2, 7
"/Users/sanitygames/godot/gameoff2022/zombie/Zombie.tscn", "GDResource", 10, 0, 0, 3, 13
"Total", "-", 177, 46, 0, 79, 302
