"filename", "language", "GDResource", "GDScript", "comment", "blank", "total"
"/Users/sanitygames/godot/gameoff2022/boss/Boss.tscn", "GDResource", 71, 0, 0, 13, 84
"/Users/sanitygames/godot/gameoff2022/game/Car.gd", "GDScript", 0, 12, 0, 6, 18
"/Users/sanitygames/godot/gameoff2022/game/Fukidasi.gd", "GDScript", 0, 14, 0, 5, 19
"/Users/sanitygames/godot/gameoff2022/game/Game.gd", "GDScript", 0, 100, 4, 10, 114
"/Users/sanitygames/godot/gameoff2022/game/Game.tscn", "GDResource", 105, 0, 0, 22, 127
"/Users/sanitygames/godot/gameoff2022/game/JumpZombieSpawner.gd", "GDScript", 0, 18, 1, 9, 28
"/Users/sanitygames/godot/gameoff2022/game/Life.gd", "GDScript", 0, 3, 0, 0, 3
"/Users/sanitygames/godot/gameoff2022/game/Waves.gd", "GDScript", 0, -6, 0, -3, -9
"/Users/sanitygames/godot/gameoff2022/game/WeaponUI.gd", "GDScript", 0, 2, 0, 2, 4
"/Users/sanitygames/godot/gameoff2022/game/ZombieSpawner.gd", "GDScript", 0, 18, 0, 9, 27
"/Users/sanitygames/godot/gameoff2022/game/ZombieTutorialWave.gd", "GDScript", 0, -10, 0, -6, -16
"/Users/sanitygames/godot/gameoff2022/global/Global.gd", "GDScript", 0, 24, 0, 9, 33
"/Users/sanitygames/godot/gameoff2022/global/Global.tscn", "GDResource", 7, 0, 0, 2, 9
"/Users/sanitygames/godot/gameoff2022/ignition_timer/IgnitionTimer.gd", "GDScript", 0, 1, 0, 0, 1
"/Users/sanitygames/godot/gameoff2022/resource/png/bossx.png.import", "GDResource", 30, 0, 0, 6, 36
"/Users/sanitygames/godot/gameoff2022/resource/sound/engine.wav.import", "GDResource", 18, 0, 0, 6, 24
"/Users/sanitygames/godot/gameoff2022/resource/sound/gam3.mp3.import", "GDResource", 10, 0, 0, 6, 16
"/Users/sanitygames/godot/gameoff2022/resource/sound/「キャー」.mp3.import", "GDResource", 10, 0, 0, 6, 16
"/Users/sanitygames/godot/gameoff2022/resource/sound/「ギャアアアア！」.mp3.import", "GDResource", 10, 0, 0, 6, 16
"/Users/sanitygames/godot/gameoff2022/zombie/Zombie.gd", "GDScript", 0, 9, 0, 3, 12
"/Users/sanitygames/godot/gameoff2022/zombie/jump_zombie.gd", "GDScript", 0, 23, 0, 8, 31
"/Users/sanitygames/godot/gameoff2022/zombie/jump_zombie.tscn", "GDResource", 44, 0, 0, 12, 56
"Total", "-", 305, 208, 5, 131, 649
